dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
97,23.7,28.843203848243874,81.80000000000001,97.77042889615889,100.27999999999999,187.02223454834146,284.5,238.9,141.1295711038411,2024-04-07
98,24.0,29.84673329012235,82.16000000000001,100.15203102463099,101.2,195.3852049657068,288.3,240.2,140.047968975369,2024-04-08
99,24.1,30.984436792675062,82.38,102.55909384573629,106.73999999999998,203.68750540805388,288.3,244.0,141.4409061542637,2024-04-09
100,24.4,32.271969167766194,85.02,105.21643342735172,111.22,211.95792893773466,288.7,244.9,139.6835665726483,2024-04-10
101,25.4,33.71969816179676,86.36,108.70651622839081,123.38,220.26976950776492,289.1,248.1,139.39348377160917,2024-04-11
102,26.1,35.32812236365621,87.46,113.02017592112526,126.0,228.68659598849243,289.40000000000003,256.0,142.97982407887474,2024-04-12
103,26.1,37.09688281403889,93.16000000000001,117.4618418253154,126.0,237.32988549022969,291.8,258.9,141.4381581746846,2024-04-13
104,27.0,39.02598938158124,94.42000000000002,121.73359066286184,126.0,246.3132746442122,291.8,263.8,142.06640933713817,2024-04-14
105,28.7,41.11383369002377,95.54,125.85426206863931,126.47999999999999,255.46272136922832,291.8,267.5,141.64573793136069,2024-04-15
106,28.9,43.35130771210433,97.98,129.88260914116074,127.17999999999999,264.3203733311257,292.2,269.3,139.41739085883927,2024-04-16
107,28.9,45.71368181850642,98.4,133.87632233522987,127.9,272.7534091886167,307.40000000000003,275.9,142.0236776647701,2024-04-17
108,29.1,48.16425080881353,100.04,137.87461911983763,131.1,281.37547090839183,320.3,281.0,143.12538088016237,2024-04-18
109,29.3,50.668208640555086,100.22000000000001,141.8947441339076,131.7,290.69788815329287,327.40000000000003,290.4,148.50525586609237,2024-04-19
110,31.8,53.20329901879668,101.76,145.88999406772473,136.08,300.4587187223526,343.9,306.9,161.01000593227525,2024-04-20
111,37.1,55.76056129835022,102.36,149.73959131391635,137.68,310.244793545071,358.6,323.2,173.46040868608364,2024-04-21
112,49.5,58.33279409332783,106.42,153.29015267381902,137.8,319.9217103393701,362.1,330.4,177.10984732618095,2024-04-22
113,61.3,60.90637445491072,108.42,156.56272675148736,140.54,329.4452160769423,366.0,335.9,179.33727324851262,2024-04-23
114,62.3,63.46230169602446,110.54,160.13322567071037,150.85999999999999,338.78118745205677,369.6,340.5,180.36677432928963,2024-04-24
