dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
78,24.4,24.731096515648865,26.96,27.702911047940773,27.98,30.728418509288417,31.8,31.8,4.097088952059227,2024-03-19
79,23.5,24.73230839965597,26.96,27.730588049097715,28.7,30.777608511258165,32.1,31.4,3.6694119509022833,2024-03-20
80,24.1,24.733859798834384,27.76,27.755994843094243,28.62,30.822092936748334,31.4,27.9,0.14400515690575588,2024-03-21
81,23.9,24.73629567156351,27.46,27.779544374288182,28.8,30.861078317274693,31.6,28.2,0.42045562571181705,2024-03-22
82,23.7,24.740051352850116,27.66,27.802066194715664,29.34,30.893384726451508,31.3,28.6,0.7979338052843374,2024-03-23
83,24.0,24.745608860947875,28.400000000000002,27.824612762901292,29.14,30.918770999668862,32.0,29.2,1.3753872370987068,2024-03-24
84,24.2,24.753433649030832,28.24,27.847965364078163,28.74,30.937898704535215,31.4,28.3,0.45203463592183724,2024-03-25
85,24.1,24.76371441934081,27.1,27.87191451168406,27.979999999999997,30.95217951170962,32.0,27.7,-0.17191451168406147,2024-03-26
86,23.2,24.77688113828918,27.560000000000002,27.895292285105164,28.84,30.96310792050758,31.8,27.2,-0.6952922851051646,2024-03-27
87,24.0,24.79335223561162,27.46,27.916770632567506,28.68,30.97156631353286,32.0,26.9,-1.016770632567507,2024-03-28
88,23.2,24.812356563116385,28.0,27.935092611966038,28.439999999999998,30.97745583090191,31.9,25.7,-2.2350926119660386,2024-03-29
89,24.3,24.832242167431083,27.46,27.949668825068933,28.14,30.980615989030355,32.6,26.5,-1.4496688250689331,2024-03-30
90,24.6,24.85114550242294,27.86,27.960930686482303,28.34,30.981115661316515,33.1,26.1,-1.8609306864823019,2024-03-31
91,22.6,24.86756659485323,27.220000000000002,27.969707129398653,28.54,30.97943038286667,32.9,25.6,-2.369707129398652,2024-04-01
92,24.0,24.88122054082553,27.42,27.977302024878203,28.779999999999998,30.976672963364436,31.1,25.7,-2.277302024878203,2024-04-02
93,22.0,24.893954212600836,27.32,27.98524268280798,28.62,30.973507946952193,30.9,26.4,-1.58524268280798,2024-04-03
94,22.7,24.906390215369395,27.82,27.994356375769616,28.7,30.970466726038833,31.7,29.3,1.3056436242303846,2024-04-04
95,24.4,24.91803835505515,27.36,28.00421312147358,28.62,30.96787128243041,31.1,29.3,1.295786878526421,2024-04-05
96,25.5,24.928823998662697,27.66,28.014258850308945,28.639999999999997,30.96598488188875,31.4,30.4,2.3857411496910537,2024-04-06
97,24.1,24.9378660559413,27.76,28.023649188477243,28.34,30.964155913170092,31.9,30.9,2.876350811522755,2024-04-07
98,24.7,24.943670810009046,27.64,28.03157703939457,28.38,30.961473445083037,32.6,31.5,3.46842296060543,2024-04-08
99,25.1,24.943577218858252,27.48,28.036799402851706,28.14,30.95668011403702,31.9,29.7,1.6632005971482933,2024-04-09
100,25.1,24.935104477404657,27.54,28.038097571946384,28.2,30.9487679798347,31.8,28.7,0.6619024280536152,2024-04-10
101,24.6,24.917259817343034,27.720000000000002,28.035123618273364,28.56,30.937364521504044,31.9,28.4,0.36487638172663495,2024-04-11
102,24.6,24.889630814010644,28.02,28.027321311697815,28.68,30.921764253612256,31.1,28.6,0.5726786883021866,2024-04-12
103,23.7,24.853366523221048,27.86,28.014436495188953,28.58,30.902371655128363,31.2,28.8,0.7855635048110479,2024-04-13
104,24.1,24.810221900056177,27.6,27.996571797025535,28.439999999999998,30.878998396813568,31.2,26.8,-1.196571797025534,2024-04-14
105,24.0,24.763106595513328,27.82,27.97399619678712,28.88,30.85037046957663,32.4,27.9,-0.073996196787121,2024-04-15
