dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
50,11.5,13.324888636052423,14.2,14.8656817781041,15.04,16.752962691430113,16.7,16.1,1.2343182218959008,2024-02-19
51,12.7,13.380598156265584,14.5,14.902106716324633,15.06,16.790189102339102,16.5,15.5,0.5978932836753668,2024-02-20
52,13.2,13.436996352625123,14.46,14.938916963743985,15.1,16.823948483684536,16.8,15.4,0.46108303625601543,2024-02-21
53,13.1,13.493096040641557,14.5,14.97550681405446,14.94,16.854623601642686,17.4,15.0,0.02449318594553951,2024-02-22
54,13.4,13.548489136387035,14.76,15.011808372152231,15.04,16.883198236699137,17.5,14.8,-0.21180837215223036,2024-02-23
55,13.5,13.60262010414541,14.66,15.048386824975973,15.0,16.91082780465102,18.0,15.8,0.751613175024028,2024-02-24
56,13.9,13.654355489704994,14.6,15.08603290909959,14.9,16.937465101241358,18.1,17.4,2.313967090900409,2024-02-25
57,13.3,13.702271144812809,14.66,15.12520629809883,15.36,16.963332215228377,17.5,18.2,3.0747937019011697,2024-02-26
58,13.1,13.745512141097556,14.7,15.166064933200014,15.7,16.989878942300145,17.4,18.8,3.633935066799987,2024-02-27
59,12.7,13.784146086371761,15.1,15.208434549264853,15.44,17.01902405493146,18.0,18.4,3.191565450735146,2024-02-28
60,12.8,13.818310293135692,14.7,15.251743496871047,15.5,17.052025341232827,18.2,16.8,1.548256503128954,2024-03-01
61,13.0,13.84797736497401,15.0,15.295079580886753,15.56,17.088515605795923,18.0,16.5,1.2049204191132468,2024-03-02
62,12.4,13.873124515879068,14.8,15.337131871379784,15.319999999999999,17.126412158836075,18.5,17.2,1.8628681286202156,2024-03-03
63,12.6,13.893784127064363,14.8,15.376499498723184,15.1,17.162599863122544,17.8,16.3,0.9235005012768163,2024-03-04
64,13.9,13.91039896034953,14.62,15.412372720570273,15.2,17.195045084264176,17.7,15.9,0.48762727942972717,2024-03-05
65,14.0,13.924033664123437,14.8,15.444959445647509,15.319999999999999,17.224050731528948,17.8,16.3,0.8550405543524917,2024-03-06
66,13.9,13.936138428073473,15.12,15.475086823297989,15.639999999999999,17.251070177467227,17.3,15.8,0.3249131767020117,2024-03-07
67,13.8,13.947701843711634,15.360000000000001,15.503718259572304,15.98,17.277838350558387,17.5,15.9,0.39628174042769615,2024-03-08
68,13.8,13.95933201986744,14.96,15.531668247621381,16.24,17.306061943832724,18.0,16.3,0.7683317523786197,2024-03-09
69,13.3,13.971113834261844,15.66,15.559354067684373,16.04,17.33622305327758,18.2,15.2,-0.3593540676843734,2024-03-10
70,13.5,13.98292337280637,15.52,15.586688527679135,16.0,17.367636510758715,18.9,15.2,-0.3866885276791354,2024-03-11
71,13.4,13.99418788128748,15.4,15.6132853870657,15.94,17.399694740705968,18.9,15.4,-0.21328538706569944,2024-03-12
72,12.5,14.004314759886404,15.56,15.638766826147823,16.24,17.43281204590114,19.1,15.6,-0.0387668261478229,2024-03-13
73,12.0,14.013641872241147,15.72,15.66291990479126,16.24,17.467641389129,18.0,16.0,0.3370800952087407,2024-03-14
74,12.3,14.02221649226714,15.66,15.685077550534311,16.24,17.504180974632593,17.8,16.0,0.3149224494656888,2024-03-15
75,12.5,14.029792809920885,15.16,15.704273331522163,15.84,17.54144552861641,18.8,16.3,0.5957266684778375,2024-03-16
76,12.7,14.036312052448258,15.4,15.719618340206232,15.7,17.57734398618461,19.4,17.0,1.2803816597937683,2024-03-17
77,13.5,14.042150532147957,15.44,15.730895784108062,15.78,17.609952608434316,19.3,17.3,1.5691042158919384,2024-03-18
78,14.2,14.047874692502157,15.48,15.738432691122442,15.84,17.638307389633702,18.7,18.3,2.5615673088775583,2024-03-19
79,14.3,14.053994340027394,15.62,15.742755037141789,15.94,17.662024576917315,18.9,17.3,1.5572449628582117,2024-03-20
80,13.7,14.061104101864537,15.52,15.744470332934611,16.0,17.68175765824273,18.7,17.5,1.7555296670653888,2024-03-21
81,13.6,14.0697821763758,15.3,15.744380060387911,15.74,17.698752161457247,18.9,18.6,2.8556199396120903,2024-03-22
82,13.5,14.080481455059155,15.4,15.743269288548044,15.9,17.714001785024475,17.9,18.3,2.556730711451957,2024-03-23
83,13.3,14.093502862558049,15.4,15.74143524780666,15.78,17.727125613574493,18.1,18.0,2.2585647521933403,2024-03-24
84,12.5,14.109215333844915,15.32,15.73890448990665,15.6,17.737484571595566,18.4,15.7,-0.03890448990665085,2024-03-25
85,12.9,14.127692028094845,15.1,15.735728997830675,15.78,17.744993201800856,18.6,15.9,0.16427100216932544,2024-03-26
86,14.3,14.148210714641724,15.2,15.731993216264113,16.04,17.749995502583932,18.6,15.8,0.06800678373588731,2024-03-27
87,14.0,14.169545383526232,15.3,15.727515993397496,16.0,17.7525886009462,18.6,15.5,-0.22751599339749617,2024-03-28
88,13.4,14.190103448020388,15.4,15.72189239214806,15.74,17.752753947783024,19.1,15.5,-0.22189239214806022,2024-03-29
89,13.8,14.208793558038387,15.26,15.714845178738845,15.94,17.750693784624723,19.5,15.8,0.08515482126115614,2024-03-30
90,13.8,14.225614824479699,15.2,15.706663943202772,15.9,17.74729405166418,20.1,15.3,-0.406663943202771,2024-03-31
91,13.4,14.240939691534644,15.16,15.698045677462526,15.84,17.743202558417696,19.5,15.9,0.2019543225374747,2024-04-01
92,13.4,14.255403380717844,15.16,15.689769821015837,15.74,17.738913123615546,19.2,15.5,-0.18976982101583673,2024-04-02
93,14.2,14.26966486337477,15.16,15.68242573368031,15.5,17.734453533022347,19.3,15.1,-0.58242573368031,2024-04-03
94,14.0,14.283940783662569,15.16,15.676283902025082,15.66,17.72924836923131,19.4,15.4,-0.2762839020250816,2024-04-04
95,14.3,14.298296473163468,15.26,15.671170562428221,15.639999999999999,17.722035367678465,19.5,15.5,-0.17117056242822137,2024-04-05
96,14.5,14.313051351897768,15.360000000000001,15.66670819325192,15.8,17.711153065655,19.4,15.2,-0.4667081932519199,2024-04-06
97,14.4,14.328584805207601,15.06,15.662673817022267,15.639999999999999,17.695493730565943,19.3,15.2,-0.4626738170222673,2024-04-07
98,14.4,14.345251739980617,15.26,15.659076216078605,15.6,17.67569089067465,19.0,15.7,0.04092378392139473,2024-04-08
99,13.5,14.362658621558055,15.26,15.656211746385233,15.6,17.65313576037942,19.0,16.4,0.7437882536147651,2024-04-09
100,14.2,14.380137406503184,15.06,15.654455654724577,15.54,17.629158782204154,18.6,15.8,0.14554434527542348,2024-04-10
101,13.8,14.39632853033337,15.1,15.65377521004162,15.34,17.60434840944295,19.3,15.7,0.046224789958380086,2024-04-11
102,13.9,14.409338646535724,15.16,15.653765358196534,15.4,17.579526951650024,18.7,15.5,-0.1537653581965337,2024-04-12
