dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
46,20.0,20.901214665649423,27.26,25.92086921631443,28.3,29.56649638062506,30.3,30.8,4.8791307836855715,2024-02-15
47,19.0,20.96893859142678,26.7,25.98440441803719,27.64,29.630479481121718,31.3,29.1,3.115595581962811,2024-02-16
48,18.5,21.050164171569016,26.560000000000002,26.050850511570523,27.779999999999998,29.701336754215657,30.0,25.5,-0.5508505115705233,2024-02-17
49,23.0,21.14503433116302,26.76,26.122524627607024,27.64,29.777117030961165,29.9,23.5,-2.6225246276070244,2024-02-18
50,15.3,21.252462553444282,26.26,26.200858253110525,27.64,29.856402278608204,30.5,30.4,4.199141746889474,2024-02-19
51,21.0,21.369977789686345,25.86,26.28541100166549,27.88,29.938366466848873,31.5,29.2,2.9145889983345086,2024-02-20
52,17.2,21.491253495463752,25.92,26.373609306955146,28.14,30.021986322836053,30.4,30.5,4.126390693044854,2024-02-21
53,19.0,21.607182521953934,25.76,26.461154549175305,27.8,30.10558336224428,31.1,32.8,6.338845450824692,2024-02-22
54,17.4,21.71048938291734,25.74,26.544414044766064,27.76,30.18763545769146,31.3,32.2,5.6555859552339385,2024-02-23
55,18.4,21.796184835181386,26.16,26.621576247766935,27.82,30.26827989927913,30.9,29.7,3.078423752233064,2024-02-24
56,16.3,21.866303426515756,24.34,26.692921836808672,26.92,30.348924083752443,30.8,31.2,4.507078163191327,2024-02-25
57,15.1,21.928883935397774,25.400000000000002,26.761007369508214,27.38,30.431813147976126,30.6,31.9,5.138992630491785,2024-02-26
58,21.4,21.99170176339999,26.34,26.829285603470513,27.939999999999998,30.51933907615365,32.1,32.1,5.270714396529488,2024-02-27
59,19.3,22.064264478162364,25.58,26.901423608389962,27.64,30.612851887658763,32.1,33.3,6.398576391610035,2024-02-28
60,19.9,22.1534823971248,27.2,26.97980815375131,27.68,30.711546260422608,31.8,31.5,4.520191846248689,2024-03-01
61,19.0,22.26140608996158,27.44,27.06503166918093,28.5,30.812446784353835,32.0,31.1,4.034968330819073,2024-03-02
62,19.7,22.386902721857254,27.76,27.157128662000297,28.84,30.910814672358292,31.4,30.2,3.0428713379997028,2024-03-03
63,21.8,22.524796912307263,27.7,27.254626105825643,29.02,31.002452974612947,31.8,31.3,4.045373894174357,2024-03-04
64,17.9,22.668002298596665,27.48,27.354861871925767,28.58,31.08517408833638,31.4,32.3,4.94513812807423,2024-03-05
65,22.0,22.807756385378333,27.86,27.45426388387219,28.4,31.158316650937657,32.1,32.3,4.8457361161278065,2024-03-06
66,21.5,22.93630432817638,27.1,27.548664350489993,28.12,31.223254236145035,32.7,33.3,5.751335649510004,2024-03-07
67,20.7,23.04774720507508,27.08,27.634032818165583,28.26,31.282730544022467,32.4,35.3,7.665967181834414,2024-03-08
68,20.3,23.139900401668058,27.04,27.70859420406363,28.279999999999998,31.339707669290057,32.6,35.1,7.391405795936372,2024-03-09
69,21.9,23.211721477627922,26.98,27.773697251943943,28.58,31.39658483972825,32.1,29.4,1.6263027480560552,2024-03-10
70,23.6,23.263866991873396,27.9,27.832355858330466,29.5,31.454467171504074,32.8,31.0,3.167644141669534,2024-03-11
71,20.7,23.301542391526457,28.28,27.887226233379252,29.84,31.514466388447993,32.6,30.9,3.0127737666207466,2024-03-12
72,18.5,23.331622001287247,28.1,27.93963645185337,29.58,31.577985186722117,32.4,32.3,4.360363548146626,2024-03-13
73,23.3,23.361769583502728,27.52,27.99126475270223,29.14,31.64499036119085,32.8,32.6,4.608735247297773,2024-03-14
74,23.8,23.397611891344,28.08,28.044522277798173,28.939999999999998,31.713897957855803,32.2,33.3,5.2554777222018245,2024-03-15
75,23.0,23.44343670749896,27.7,28.101719444479205,28.98,31.781934846424726,31.6,32.3,4.1982805555207925,2024-03-16
76,14.4,23.500324529485102,26.9,28.1638517842328,28.12,31.84643155178036,31.6,33.3,5.1361482157671965,2024-03-17
77,17.1,23.56507148769537,27.76,28.22973528902843,28.939999999999998,31.906152601409822,32.4,33.8,5.570264710971568,2024-03-18
78,21.6,23.633584845315518,28.36,28.29752641246875,29.72,31.961055719343815,33.2,31.3,3.0024735875312523,2024-03-19
