dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
59,0.3,0.6126258834563222,2.9,6.743599947708483,5.4799999999999995,21.63382271820873,54.599999999999994,8.0,1.256400052291517,2024-02-28
60,0.3,0.6478870613429426,2.9,6.965137881441487,5.4799999999999995,22.827909709924047,54.599999999999994,8.0,1.0348621185585127,2024-03-01
61,0.3,0.6862374329404227,2.9,7.1845057940635515,5.4799999999999995,24.195371019092946,54.599999999999994,8.0,0.8154942059364485,2024-03-02
62,0.3,0.727557591851703,2.9,7.40025775217736,5.4799999999999995,25.777630123320574,54.599999999999994,8.0,0.5997422478226397,2024-03-03
63,0.3,0.7714459524511682,3.3200000000000003,7.610593578064595,5.48,27.450096345873956,54.599999999999994,8.0,0.389406421935405,2024-03-04
64,0.5,0.8173261634150407,3.4,7.813436534097122,5.48,28.822524503553332,54.599999999999994,8.0,0.18656346590287765,2024-03-05
65,0.5,0.8645377544481465,3.4,8.006809344179288,5.48,29.581445807530102,54.599999999999994,8.0,-0.006809344179288246,2024-03-06
66,0.5,0.9123688227585989,3.4,8.189332852091182,5.56,29.861798584278933,54.599999999999994,8.0,-0.1893328520911819,2024-03-07
67,0.9,0.9602797767589147,3.4,8.360837776677474,5.56,29.953426675303024,54.599999999999994,8.0,-0.3608377766774744,2024-03-08
68,0.9,1.0083782491201214,3.46,8.52269659609093,5.56,30.01007394415329,54.599999999999994,8.0,-0.5226965960909293,2024-03-09
69,0.9,1.0570975755741627,4.040000000000001,8.677563310661908,5.56,30.07343149529722,55.49999999999999,8.0,-0.6775633106619079,2024-03-10
70,0.9,1.1071782327085398,4.040000000000001,8.828879177231885,5.56,30.145941429823235,55.49999999999999,8.0,-0.8288791772318849,2024-03-11
71,0.9,1.1599109753652046,4.6800000000000015,8.979949526373092,5.999999999999999,30.22423184528883,55.49999999999999,8.0,-0.9799495263730922,2024-03-12
72,0.9,1.2166025471144357,4.6800000000000015,9.133022845669021,6.039999999999999,30.305754446009715,59.599999999999994,8.0,-1.1330228456690215,2024-03-13
73,0.9,1.2780937422978949,4.840000000000001,9.289413087420373,6.039999999999999,30.38959951784828,73.5,8.1,-1.1894130874203732,2024-03-14
74,0.9,1.3445218588690586,5.12,9.450052186912334,6.039999999999999,30.476229505144627,73.5,8.1,-1.3500521869123343,2024-03-15
75,0.9,1.4153148430070477,5.180000000000001,9.615132023185271,6.039999999999999,30.567071093030805,73.5,8.1,-1.5151320231852718,2024-03-16
76,0.9,1.4897367953205394,5.180000000000001,9.784217032872291,6.1,30.664219919387744,73.5,8.1,-1.6842170328722919,2024-03-17
77,0.9,1.5669445849751373,5.36,9.956488758673958,6.1,30.76955906571293,73.5,8.1,-1.856488758673958,2024-03-18
78,0.9,1.6460598466989347,5.5,10.130773725960884,7.08,30.883742976393016,73.5,8.3,-1.8307737259608832,2024-03-19
79,0.9,1.7262349465348672,5.5,10.305591036746764,7.08,31.00600916604823,73.5,9.9,-0.4055910367467632,2024-03-20
80,0.9,1.8066970604106214,5.66,10.47955433717971,7.08,31.134496636556673,73.5,9.9,-0.5795543371797098,2024-03-21
81,0.9,1.8869316359368888,5.76,10.651711239454183,7.08,31.266650617053376,73.5,9.9,-0.751711239454183,2024-03-22
82,0.9,1.9667232040500098,5.82,10.821679221157682,7.08,31.399633672318917,73.5,9.9,-0.9216792211576816,2024-03-23
83,0.9,2.04625395941084,6.16,10.989858514262258,7.08,31.531037296974596,73.5,9.9,-1.0898585142622572,2024-03-24
84,1.0,2.1265308686557987,6.32,11.157799693148162,7.14,31.660511719830172,73.5,9.9,-1.2577996931481614,2024-03-25
85,1.0,2.2087718641041665,6.32,11.328032474367383,7.359999999999999,31.78997342971566,73.5,9.9,-1.4280324743673827,2024-03-26
86,1.0,2.293620229144012,6.32,11.503600849783457,7.359999999999999,31.9236431199092,73.5,9.9,-1.6036008497834562,2024-03-27
87,1.0,2.3808283741095275,6.36,11.687701591402066,7.54,32.070385836409145,73.6,9.9,-1.7877015914020653,2024-03-28
88,1.0,2.4694282579906526,6.36,11.882959071840803,7.6,32.24124345780946,73.6,9.9,-1.9829590718408028,2024-03-29
89,1.1,2.558006921417691,6.36,12.090737692062376,7.6,32.44662270897134,73.6,9.9,-2.190737692062376,2024-03-30
90,1.2,2.645309395469318,6.660000000000001,12.311303162188754,8.919999999999998,32.69378438647003,74.0,9.9,-2.4113031621887533,2024-03-31
91,1.5,2.7303167080009794,6.78,12.544088884206875,9.459999999999999,32.9845881212962,74.39999999999999,9.9,-2.644088884206875,2024-04-01
92,1.5,2.8125377286210558,6.86,12.788417529281034,9.88,33.31502883932251,75.1,9.9,-2.8884175292810337,2024-04-02
93,1.5,2.8922679425671483,6.86,13.044120449504645,10.0,33.67776815335955,75.1,9.9,-3.144120449504644,2024-04-03
94,1.5,2.970410666602572,6.96,13.311512977540211,10.319999999999999,34.06392291005618,75.1,9.9,-3.4115129775402107,2024-04-04
95,1.7,3.0482606879948695,7.080000000000001,13.5912954686464,10.88,34.465044718292326,75.1,9.9,-3.6912954686464,2024-04-05
96,1.8,3.12758326042083,7.080000000000001,13.88487807211247,11.08,34.874768003777284,75.1,9.9,-3.984878072112469,2024-04-06
97,1.8,3.210617229915448,7.760000000000001,14.194112959621364,11.52,35.28910231518768,75.1,9.9,-4.294112959621364,2024-04-07
98,1.8,3.3001290538636177,7.86,14.52123681734072,12.16,35.706791923721674,75.1,9.9,-4.621236817340719,2024-04-08
99,1.8,3.39983764313913,7.98,14.868567493734446,12.839999999999998,36.129950484297105,75.1,9.9,-4.9685674937344455,2024-04-09
100,1.8,3.5130619436287516,9.200000000000001,15.237675230886122,12.839999999999998,36.56271135860458,75.1,9.9,-5.337675230886122,2024-04-10
101,1.8,3.6421315237195806,9.860000000000001,15.62895724535681,12.879999999999999,37.00898733587098,75.1,9.9,-5.72895724535681,2024-04-11
102,2.8,3.7881764893375984,10.42,16.041943830321586,13.639999999999999,37.4696541484478,75.1,9.9,-6.141943830321585,2024-04-12
103,3.1,3.951565915285012,10.840000000000002,16.475500634880138,13.78,37.942116471062675,75.1,9.9,-6.575500634880138,2024-04-13
104,3.2,4.131717487030899,10.840000000000002,16.927804837807535,13.939999999999998,38.420363866326625,75.1,9.9,-7.027804837807535,2024-04-14
105,3.5,4.326804550456355,11.740000000000002,17.39623878293564,14.379999999999999,38.896150980716754,76.6,9.9,-7.49623878293564,2024-04-15
106,3.5,4.534154965454942,11.800000000000002,17.87809115524917,15.219999999999997,39.364214922596645,76.6,9.9,-7.978091155249169,2024-04-16
107,3.5,4.750670647014833,12.400000000000004,18.37096626687338,17.179999999999996,39.828166213789295,76.6,9.9,-8.470966266873381,2024-04-17
108,3.5,4.97325326484432,12.520000000000003,18.872958450482624,19.18,40.29962662558756,76.6,9.9,-8.972958450482624,2024-04-18
109,4.2,5.1994596862854845,13.719999999999999,19.382861257580842,19.799999999999997,40.79451237529593,76.6,9.9,-9.482861257580842,2024-04-19
110,4.2,5.4280151041440785,13.86,19.90027973829561,21.279999999999998,41.32883320822051,76.6,9.9,-10.000279738295609,2024-04-20
